# Remitos que trae el export "Siembras Asociadas ADM 03-09-2026" y NO estaban en el del 19-08.
# Son los que destraban el bloque abierto (OT 755-767).
comprobante,fecha,producto,cantidad,unidad
0202-00012205,2026-08-20,2-4-D HERBIFEN ADVANCE,320.00,L
0202-00012205,2026-08-20,DIFLUFENICAN 50% SC,55.00,L
0202-00012205,2026-08-20,GLIFOSATO PANZER GOLD,600.00,L
0202-00012205,2026-08-20,COADYUVANTE TTM,100.00,L
0202-00012205,2026-08-20,FLUMIOXAZIN 48% INSUAGRO,20.00,L
0202-00012205,2026-08-20,BROMOXINIL BROMOTRIL,125.00,L
0202-00012205,2026-08-20,MCPA 75% ATANOR,120.00,L
0202-00012207,2026-08-20,CLETODIM 24% SINO AGRI,20.00,L
0202-00012207,2026-08-20,VITAGROW FERTILIZANTE FOLIAR,17.00,kg
0202-00012207,2026-08-20,PINOXAMYL PINOXADEN,100.00,L
0202-00012343,2026-09-02,2-4-D HERBIFEN ADVANCE,300.00,L
0202-00012343,2026-09-02,CLETODIM 24% SINO AGRI,80.00,L
0202-00012343,2026-09-02,GLIFOSATO PANZER GOLD,880.00,L
0202-00012343,2026-09-02,LONTREL CLOPYRALID,10.00,L
0202-00012343,2026-09-02,FLUMIOXAZIN 48% INSUAGRO,15.00,L
0202-00012343,2026-09-02,COADYUVANTE TTM,120.00,L
0202-00012343,2026-09-02,VIOVAN,130.00,L
0202-00012345,2026-09-02,DIFLUFENICAN LEGACY,70.00,L
0202-00012345,2026-09-02,LONTREL CLOPYRALID,10.00,L
