# Remitos que trae el export "Siembras Asociadas ADM 18-09-2026" y no estaban en el del 03/09.
comprobante,fecha,producto,cantidad,unidad
0202-00012379,2026-09-07,2-4-D HERBIFEN ADVANCE,20.00,L
0202-00012379,2026-09-07,DIFLUFENICAN 50% SC,5.00,L
0202-00012379,2026-09-07,GLIFOSATO PANZER GOLD,20.00,L
0202-00012425,2026-09-09,VIOVAN,170.00,L
0202-00012425,2026-09-09,COADYUVANTE TTM,60.00,L
0202-00012425,2026-09-09,CLETODIM 24% SINO AGRI,160.00,L
0202-00012425,2026-09-09,GLIFOSATO PANZER GOLD,220.00,L
0202-00012427,2026-09-09,DIFLUFENICAN LEGACY,30.00,L
0202-00012456,2026-09-11,SOLMIX 28-00-00-5.2,29280.00,kg
0202-00012468,2026-09-14,FLUMIOXAZIN 48% INSUAGRO,20.00,L
0202-00012468,2026-09-14,VELTROMA SAFLUFENACIL 70% WG,7.00,kg
0202-00012468,2026-09-14,GLIFOSATO PANZER GOLD,480.00,L
0202-00012468,2026-09-14,CLETODIM 24% SINO AGRI,180.00,L
0202-00012468,2026-09-14,COADYUVANTE TTM,50.00,L
0202-00012468,2026-09-14,DIFLUFENICAN 50% SC,5.00,L
0202-00012468,2026-09-14,2-4-D CASTER LV (ETILHEXILICO),260.00,L
0202-00012523,2026-09-17,SOLMIX 28-00-00-5.2,29880.00,kg
0202-00012528,2026-09-18,PARAQUAT 27.6% INZIRA,320.00,L
0202-00012528,2026-09-18,COADYUVANTE TTM,60.00,L
0202-00012528,2026-09-18,VIOVAN,140.00,L
