comprobante,fecha,producto,cantidad,unidad,reversa_remito_RyC
DC-0002-00001844,2026-06-18,VELTROMA SAFLUFENACIL 70% WG,0.70,KG,RCL-0202-00011604
DC-0002-00001845,2026-06-18,"2,4 D HERBIFEN ADVANCE X 20 LT",20,LT,RCL-0202-00011629
DC-0002-00001845,2026-06-18,PARAMER PYROXASUFLONE AL 85% WG X 5KG,5,KG,RCL-0202-00011629
DC-0002-00001845,2026-06-18,COADYUVANTE TTM Bidon x 10 lts,10,LT,RCL-0202-00011629
DC-0002-00001845,2026-06-18,GLIFOSATO PANZER GOLD EN X 20 LTS,80,LT,RCL-0202-00011629
DC-0002-00001845,2026-06-18,CLETODIM 24% SINO AGRI X20 LTS,40,LT,RCL-0202-00011629
DC-0002-00001846,2026-06-18,VITAGROW TS X 1 LTS,24,LT,RCL-0202-00011642
DC-0002-00001847,2026-06-18,COMPINCHE SX Bidon x 5 lts,70,LT,RCL-0202-00011643
DC-0002-00001848,2026-06-18,COMPINCHE SX Bidon x 5 lts,20,LT,RCL-0202-00011668
DC-0002-00001848,2026-06-18,VITAGROW TS X 1 LTS,6,LT,RCL-0202-00011668
DC-0002-00001849,2026-06-18,RIZOSTAR PZ X KG ( BIG BAG),8400,KG,RCL-0202-00011679
DC-0002-00001850,2026-06-18,FLUROCLORIDONA RAINBOW X 20 LTS ADAMA,420,LT,RCL-0202-00011682
DC-0002-00001850,2026-06-18,GLIFOSATO PANZER GOLD EN X 20 LTS,140,LT,RCL-0202-00011682
DC-0002-00001850,2026-06-18,PARAQUAT SIGMA X 20LTS,460,LT,RCL-0202-00011682
DC-0002-00001850,2026-06-18,COADYUVANTE TTM Bidon x 10 lts,80,LT,RCL-0202-00011682
DC-0002-00001851,2026-06-18,COMPINCHE SX Bidon x 5 lts,65,LT,RCL-0202-00011717
DC-0002-00001851,2026-06-18,COMPINCHE SX Bidon x 5 lts,5,LT,RCL-0202-00011717
DC-0002-00001851,2026-06-18,VITAGROW TS X 1 LTS,24,LT,RCL-0202-00011717
DC-0002-00001852,2026-06-18,RIZOSTAR PZ X KG ( BIG BAG),7800,KG,RCL-0202-00011728
DC-0002-00001852,2026-06-18,MICROSTAR PZ Bolsa x 20 kgs,200,KG,RCL-0002-00011728
DC-0002-00001858,2026-06-19,"2,4 D ENLIST HERB Bidon x 20 lts",20,LT,RCL-0202-00011567
DC-0002-00001858,2026-06-19,GLIFOSATO PANZER GOLD EN X 20 LTS,40,LT,RCL-0202-00011567
