# Lado remitido de los tres principios activos con faltante. Corte 12/08/2026.
producto,comprobante,fecha,cantidad,unidad
PANZER GOLD,RyC 0202-00011754,2026-06-13,340.00,L
PANZER GOLD,RyC 0202-00011795,2026-06-18,80.00,L
PANZER GOLD,RyC 0202-00011801,2026-06-18,140.00,L
PANZER GOLD,RyC 0202-00011805,2026-06-19,40.00,L
PANZER GOLD,RyC 0202-00011817,2026-06-19,80.00,L
PANZER GOLD,RyC 0202-00011844,2026-06-24,60.00,L
PANZER GOLD,RyC 0202-00011889,2026-06-29,40.00,L
PANZER GOLD,RyC 0202-00012006,2026-07-15,140.00,L
ROUND UP FULL II,Propio RV-00001-00014048 (R375),2026-07-15,200.00,L
CLETODIM,RyC 0202-00011754,2026-06-13,120.00,L
CLETODIM,RyC 0202-00011795,2026-06-18,40.00,L
CLETODIM,RyC 0202-00011889,2026-06-29,80.00,L
CLETODIM,RyC 0202-00012006,2026-07-15,220.00,L
HERBIFEN,RyC 0202-00011754,2026-06-13,100.00,L
HERBIFEN,RyC 0202-00011795,2026-06-18,20.00,L
HERBIFEN,RyC 0202-00012006,2026-07-15,100.00,L
ENLIST,RyC 0202-00011805,2026-06-19,20.00,L
ENLIST,Propio RV-00001-00000369,2026-05-13,40.00,L
