remito,fecha,referencia,producto,cantidad_abs,unidad,signo_origen
RV-00001-00000369,2026-05-13,REMITO SIEMBRA ASOC RINDES-PAGA Y FACTURA A RINDES-OT 724/23/22nsumos en stock retirados del galpon aporte Amand,ENLIST HERB 24D,40,LT,-40
RV-00001-00000369,2026-05-13,REMITO SIEMBRA ASOC RINDES-PAGA Y FACTURA A RINDES-OT 724/23/22nsumos en stock retirados del galpon aporte Amand,HEAT (FCO X 350GRS),1.4,KG,-1.4
RV-00001-00014046,2026-06-01,R370,FLUROCLORIDONA,40,LT,-40
RV-00001-00014047,2026-06-26,R373,PARAQUAT,20,LT,-20
RV-00001-00014047,2026-06-26,R373,FLUROCLORIDONA,20,LT,-20
RV-00001-00014048,2026-07-15,R375,DIFLUFENICAN LEGACY,3,LT,-3
RV-00001-00014048,2026-07-15,R375,ROUND UP,200,LT,-200
RV-00001-00014049,2026-08-18,1,METSULFURON,0.15,KG,-0.15
RV-00001-00014049,2026-08-18,1,PINOXADEN AXIAL PLUS,100,LT,-100
RV-00001-00014049,2026-08-18,1,VITAGROW RIZOBACTER,3,KG,-3
RV-00001-00014049,2026-08-18,1,MCPA 75% ATANOR,30,LT,-30
