# Trazabilidad OT por OT de los tres principios activos con faltante. Corte 12/08/2026.
# Pedido por Betiana el 03/09/2026 para rastrear el remito faltante o traspapelado.
# real = plan x cobertura declarada. Cobertura: 722=34,9% 723=24,0% 727=10% 729=44,44%; el resto 100%.
ot,fecha,campo,producto,plan,cobertura,real,unidad,remito_citado_en_la_OT
722,2026-05-12,La Manga,ENLIST,110.32,0.349,38.50,L,11533/11534 (reemplazados por 11754) + Propio R369
722,2026-05-12,La Manga,PANZER GOLD,267.92,0.349,93.50,L,11533/11534 (reemplazados por 11754) + Propio R369
723,2026-05-12,Don Federico L1,HERBIFEN,62.50,0.240,15.00,L,11533/11534 (reemplazados por 11754) + Propio R369
723,2026-05-12,Don Federico L1,CLETODIM,87.50,0.240,21.00,L,11533/11534 (reemplazados por 11754) + Propio R369
723,2026-05-12,Don Federico L1,PANZER GOLD,187.50,0.240,45.00,L,11533/11534 (reemplazados por 11754) + Propio R369
724,2026-05-12,Don Federico L2,HERBIFEN,105.00,1.000,105.00,L,11533/11534 (reemplazados por 11754) + Propio R369
724,2026-05-12,Don Federico L2,CLETODIM,120.00,1.000,120.00,L,11533/11534 (reemplazados por 11754) + Propio R369
724,2026-05-12,Don Federico L2,PANZER GOLD,231.00,1.000,231.00,L,11533/11534 (reemplazados por 11754) + Propio R369
727,2026-06-21,Ciervo Blanco L7,HERBIFEN,42.00,0.100,4.20,L,SIN REMITO CITADO
727,2026-06-21,Ciervo Blanco L7,PANZER GOLD,92.40,0.100,9.24,L,SIN REMITO CITADO
729,2026-06-08,La Manga L10,CLETODIM,32.40,0.4444,14.40,L,SIN REMITO CITADO
729,2026-06-08,La Manga L10,PANZER GOLD,40.50,0.4444,18.00,L,SIN REMITO CITADO
730,2026-06-01,La Manga,PANZER GOLD,84.90,1.000,84.90,L,SIN REMITO CITADO
731,2026-06-08,La Manga,PANZER GOLD,87.24,1.000,87.24,L,SIN REMITO CITADO
735,2026-05-06,Ciervo Blanco manchoneo,HERBIFEN,10.00,1.000,10.00,L,RyC 11795 + Propio 369
735,2026-05-06,Ciervo Blanco manchoneo,PANZER GOLD,22.00,1.000,22.00,L,RyC 11795 + Propio 369
737,2026-06-12,Ciervo Blanco / La Celina,HERBIFEN,99.50,1.000,99.50,L,RyC 11754
737,2026-06-12,Ciervo Blanco / La Celina,PANZER GOLD,216.90,1.000,216.90,L,RyC 11754
739,2026-06-22,La Celina,CLETODIM,117.72,1.000,117.72,L,RyC 11754 (el Cuthill 8-2332 es antideriva)
739,2026-06-22,La Celina,PANZER GOLD,117.72,1.000,117.72,L,RyC 11754 (el Cuthill 8-2332 es antideriva)
742,2026-06-19,La Celina L4,PANZER GOLD,75.00,1.000,75.00,L,SIN REMITO CITADO
743,2026-06-29,La Celina L2,CLETODIM,85.50,1.000,85.50,L,SIN REMITO CITADO
743,2026-06-29,La Celina L2,PANZER GOLD,85.50,1.000,85.50,L,SIN REMITO CITADO
745,2026-07-14,Ciervo Blanco 6 bajo,HERBIFEN,21.00,1.000,21.00,L,Cuthill 8-2344 (antideriva)
745,2026-07-14,Ciervo Blanco 6 bajo,CLETODIM,12.60,1.000,12.60,L,Cuthill 8-2344 (antideriva)
745,2026-07-14,Ciervo Blanco 6 bajo,ROUND UP FULL II,42.00,1.000,42.00,L,Propio R375
746,2026-07-14,Ciervo Blanco 9,CLETODIM,108.00,1.000,108.00,L,RyC 12006 + Propio R369-375
746,2026-07-14,Ciervo Blanco 9,ROUND UP FULL II,144.00,1.000,144.00,L,Propio R375
747,2026-07-14,Ciervo Blanco 8,HERBIFEN,68.00,1.000,68.00,L,SIN REMITO CITADO
747,2026-07-14,Ciervo Blanco 8,CLETODIM,102.00,1.000,102.00,L,SIN REMITO CITADO
747,2026-07-14,Ciervo Blanco 8,PANZER GOLD,136.00,1.000,136.00,L,SIN REMITO CITADO
