InsumoLabor,Alias,TipoInsumo,Unidad,PrincipioActivo(Observacion)
24D HERBIFEN ADVANCE,,AGR HERBICIDA ( - ),L,"2,4D ETILHEXILICO 97%"
24DB 93,"10602200-2,4 DB 100%",AGR HERBICIDA ( - ),L,"2,4DB ESTER BUTIRICO 93%"
24D ENLIST,10602150-24D ENLIST,AGR HERBICIDA ( - ),L,"2,4D SAL COLINA 66,9%"
24D ESTER 100,10602155-24D ESTER 100,AGR HERBICIDA ( - ),L,"2,4D ESTER 100%"
24D ETIL HEXILICO 89,10601400-24D ETIL HEXILICO 89,AGR HERBICIDA ( - ),L,"2,4D ETILHEXILICO 89%"
GRAMINICIDA,,AGR HERBICIDA ( - ),L,"2,4D ETILHEXILICO 102,5%"
24D MICROEMULSION 30,10600850-24D MICROEMULSION 30,AGR HERBICIDA ( - ),L,"2,4D MICROEMULSION 30%"
A35T COADYUVANTE,,AGR COADYUVANTE ( - ),L,A35T COADYUVANTE
"ABAMECTINA 3,6",,AGR INSECTICIDA ( - ),L,
ACADIA BIO,,AGR FUNGICIDA ( - ),L,TEBUCO 20% + AZOXI 12%
ACEITE METILADO DE SOJA,10100420-ACEITE METILADO DE SOJA,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA GENERICO
ACEITE MINERAL,,AGR COADYUVANTE ( - ),L,ACEITE MINERAL
ACEITE OPTIMIZER,10100410-ACEITE OPTIMIZER,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA
ACEITE ACTION MSO,10100400-ACEITE ACTION MSO,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA
ACEITE BIO FUSION,10100210-ACEITE BIO FUSION,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA
ACURON UNO,,AGR HERBICIDA ( - ),L,BICICLOPIRONA 20%
ACETOCLOR 90,,AGR HERBICIDA ( - ),L,ACETOCLOR 90%
ADENGO,,AGR HERBICIDA ( - ),L,ADENGO
ATRAZINA 50,,AGR HERBICIDA ( - ),L,ATRAZINA 50%
ATRAZINA 90,10600900-ATRAZINA 90%,AGR HERBICIDA ( - ),K,ATRAZINA 90%
AXIAL,10603000-AXIAL,AGR HERBICIDA ( - ),L,"PINOXADEN 5% + CLOQUINTOCET 1,25%"
AZOXY PRO,,AGR FUNGICIDA ( - ),L,AZOXISTROBINA 20% + CIPROCONAZOLE 8%
BELT SC480,10900070-BELT SC480,AGR INSECTICIDA ( - ),L,BELT
"BROMOXINIL 34,9","10601200-BROMOXINIL 34,9%",AGR HERBICIDA ( - ),L,"BROMOXINIL 34,9%"
BIFENTRIN 10,10900050-BIFENTRIN 10%,AGR INSECTICIDA ( - ),L,BIFENTRIN 10%
CARFENTRAZONE 40,10603100-CARFENTRAZONE 40,AGR HERBICIDA ( - ),L,CARFENTRAZONE 40%
CLARTEX XTRA,10900100-CLARTEX XTRA,AGR INSECTICIDA ( - ),K,CARBARIL 8% + METALDEHIDO 4%
CLEARSOL DF,,AGR HERBICIDA ( - ),K,IMAZAPIR 80%
CLEARSOL II PLUS (pack 10ha),,AGR HERBICIDA ( - ),PACK,CLEARSOL II PLUS (pack 10ha)
CLETODIM 24,10601000-CLETODIM 24,AGR HERBICIDA ( - ),L,CLETODIM 24%
CLETODIM 36,,AGR HERBICIDA ( - ),L,CLETODIM 36%
CLOPIRALID 36,10603200-CLOPIRALID 36,AGR HERBICIDA ( - ),L,"CLOPIRALID MONOETANOLAMINA 47,5%"
CLORIMURON 75,,AGR HERBICIDA ( - ),K,CLORIMURON 75%
CLORIMURON 25,,AGR HERBICIDA ( - ),K,CLORIMURON 25 %
CLORPIRIFOS 48,10900080-CLORPIRIFOS 48,AGR INSECTICIDA ( - ),L,CLORPIRIFOS 48%
COADYUVANTE PLATAFORMA,,AGR COADYUVANTE ( - ),L,COADYUVANTE PLATAFORMA
COA VEGETAL SILICONADO YPF,,AGR COADYUVANTE ( - ),L,
COADYUVANTE DRIVER,,AGR COADYUVANTE ( - ),L,COADYUVANTE DRIVER
COMPINCHE,,AGR SEMILLA ( - ),L,COMPINCHE
CONVEY,,AGR HERBICIDA ( - ),L,CLORIMURON 25 %
CORAGEN,10900090-CORAGEN,AGR INSECTICIDA ( - ),L,CLORANTRANILIPROLE
CRIPTON,10500060-CRIPTON,AGR FUNGICIDA ( - ),L,CRIPTON
CRIPTON XPRO,,AGR FUNGICIDA ( - ),L,CRIPTON XPRO
DASH MSO MAX,10100600-DASH MSO MAX,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA
DASEN PLUS ,,AGR HERBICIDA ( - ),L,
DECIS FLOW,,AGR INSECTICIDA ( - ),L,DELTAMETRINA 20%
DECIS FORTE,,AGR INSECTICIDA ( - ),K,DELTAMETRINA 10%
PHOTOXIN,,AGR INSECTICIDA ( - ),K,
DIQUAT REGLONE,10604100-DIQUAT REGLONE,AGR HERBICIDA ( - ),L,"DICAMBA DIMETILAMINA 57,8%"
DICAMBA,10603300-DICAMBA,AGR HERBICIDA ( - ),L,"DICAMBA DIMETILAMINA 57,8%"
DICLOSULAM 84,,AGR HERBICIDA ( - ),K,DICLOSULAM 84%
DICAMBA ATECTRA BV,,AGR HERBICIDA ( - ),L,"DICAMBA DIGLICOLAMINA 70,8%"
DIFLUFENICAN 50,,AGR HERBICIDA ( - ),L,DIFLUFENICAN 50%
DOBLE ACAY,,AGR INSECTICIDA ( - ),K,CARBARIL 8% + METALDEHIDO 4%
EXITO,10100500-EXITO,AGR COADYUVANTE ( - ),L,EXITO
ECORIZOSPRAY,10602810-ECORIZOSPRAY,AGR COADYUVANTE ( - ),L,ECORIZOSPRAY
FIGHTER PLUS,,AGR INSECTICIDA ( - ),L,GAMMACIALOTRINA 15%
FINESSE,,AGR HERBICIDA ( - ),K,"CLORSULFURON 62,5% + METSULFURON 12,5%"
FIPRONIL 20,10900060-FIPRONIL 20,AGR INSECTICIDA ( - ),L,FIPRONIL 20%
FLUMETSULAM 12,10602600-FLUMETSULAM FLOYD,AGR HERBICIDA ( - ),L,FLUMETSULAM 12%
FLUMIOXAZIN 48,,AGR HERBICIDA ( - ),L,FLUMIOXAZIN 48%
FLUROCLORIDONA,10601600-FLUROCLORIDONA 25%,AGR HERBICIDA ( - ),L,FLUROCLORIDONA 25%
FLUROXIPIR 48,10604000-FLUROXIPIR 48,AGR HERBICIDA ( - ),L,FLUROXIPIR 48%
FOMESAFEN 25,10603400-FOMESAFEN 25,AGR HERBICIDA ( - ),L,"FOMESAFEN SAL SODICA 26,25%"
FOMESAFEN 50,,AGR HERBICIDA ( - ),L,
FULLTEC,,AGR COADYUVANTE ( - ),L,FULLTEC
HALOXIFOP 54,,AGR HERBICIDA ( - ),L,HALOXIFOP 54%
GALANT MAX,,AGR HERBICIDA ( - ),L,"HALOXIFOP 93,5%"
GLIFOPAMPA ZAMBA,,AGR HERBICIDA ( - ),L,GLIFOSATO SAL POTASICA 62%
GLIFOSATO PREMIUM 66 YPF,,AGR HERBICIDA ( - ),L,
GLIFOSATO CONTROL MAX,10600200-ROUNDUP CONTROL MAX,AGR HERBICIDA ( - ),K,"GLIFOSATO SAL MONOAMONICA 79,2%"
GLIFOSATO SNIPER DRY,10601320-GLIFOSATO SNIPER DRY,AGR HERBICIDA ( - ),K,"GLIFOSATO SAL MONOAMONICA 79,2%"
GLIFOSATO FULL II,,AGR HERBICIDA ( - ),L,"GLIFOSATO SAL POTASICA 66,2%"
GLIFOSATO LA TIJERETA BOX,,AGR HERBICIDA ( - ),K,"GLIFOSATO SAL MONOAMONICA 79,2%"
GLIFOSATO LA TIJERETA PLATINUM,,AGR HERBICIDA ( - ),L,"GLIFOSATO SAL POTASICA 58,8%"
GLIFOSATO MARCH II,,AGR HERBICIDA ( - ),L,"GLIFOSATO SAL POTASICA 66,2%"
GLIFOSATO SNIPER 48,10601310-GLIFOSATO SNIPER 48,AGR HERBICIDA ( - ),L,"GLIFOSATO SAL POTASICA 58,8%"
GLIFOSATO PANZER GOLD,,AGR HERBICIDA ( - ),L,"GLIFOSATO SAL DIMETILAMINA 60,8%"
GLIFOSATO POWER PLUS II,10601700-GLIFOSATO POWER PLUS II,AGR HERBICIDA ( - ),L,"GLIFOSATO POTASICA Y AMONICA 64,5%"
GLIFOSATO RUP TOP,10602900-GLIFOSATO RUP TOP,AGR HERBICIDA ( - ),L,"GLIFOSATO POTASICA Y AMONICA 64,5%"
GLIFOSATO SULFOSATO TOUCHDOWN,,AGR HERBICIDA ( - ),L,GLIFOSATO SAL POTASICA 62%
GLIFOSATO SUPER ESTRELLA II,,AGR HERBICIDA ( - ),L,GLIFOSATO SAL POTASICA 65%
GLUFOSINATO DE AMONIO 28,,AGR HERBICIDA ( - ),L,GLUFOSINATO DE AMONIO 28%
GRAMINI ELITE,10603500-GRAMINI ELITE,AGR HERBICIDA ( - ),L,CLETODIM 12% + HALOXIFOP 6%
HEAT,10601500-HEAT X 350 GR,AGR HERBICIDA ( - ),K,SAFLUFENACIL 70%
HISTICK PLUS INOCULANTE (pack 4000kg semilla),,AGR SEMILLA ( - ),PACK,HISTICK PLUS INOCULANTE (pack 4000kg semilla)
HOWLER,,AGR FERTILIZANTE ( - ),L,HOWLER
HUSSAR OD PLUS,10603600-HUSSAR OD PLUS,AGR HERBICIDA ( - ),PACK,HUSSAR OD PLUS
IMAZAPIR 25,,AGR HERBICIDA ( - ),K,IMAZAPIR 25%
KATRIN 80 P/10 HAS,10600300-KATRIN 80 (KIT P/10HAS),AGR HERBICIDA ( - ),PACK,IMAZAPIR 80%
"IMAZETAPIR 10,6",,AGR HERBICIDA ( - ),L,"IMAZETAPIR 10,6%"
INSIGNIA BIO,,AGR COADYUVANTE ( - ),L,INSIGNIA BIO
INTREPID,,AGR INSECTICIDA ( - ),L,LAMBDACIALOTRINA 5%
LAMBDACIALOTRINA 25,10900040-LAMBDACIALOTRINA 25%,AGR INSECTICIDA ( - ),L,LAMBDACIALOTRINA 25%
EXPEDITION,,AGR INSECTICIDA ( - ),L,LAMBDACIALOTRINA 25% GRANULADA
ELEVORE,,AGR HERBICIDA ( - ),L,TEMBOTRIONE 42% + ISOXADIFEN 21%
